"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"13909","866.304000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1531, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13910","866.406400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1532, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13911","866.508800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1533, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13912","866.611200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1534, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13913","866.713600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1535, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13914","866.816000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1536, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13915","866.918400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1537, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13916","866.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13917","866.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"13918","866.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13919","867.017165","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"13920","867.017479","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13921","867.019637","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"13922","867.019895","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13923","867.020800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1540, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13924","867.021070","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13925","867.030280","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13926","867.123200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1541, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13927","867.225600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1542, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13928","867.328000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1543, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13929","867.430400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1544, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13930","867.532800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1545, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13931","867.635200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1546, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13932","867.737600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1547, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13933","867.840000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1548, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13934","867.942400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1549, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13935","867.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13936","867.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"13937","867.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13938","868.017545","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"13939","868.017859","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13940","868.019637","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"13941","868.019895","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13942","868.020045","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13943","868.029255","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13944","868.044800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1552, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13945","868.147200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1553, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13946","868.249600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1554, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13947","868.352000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1555, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13948","868.454400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1556, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13949","868.556800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1557, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13950","868.659200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1558, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13951","868.761600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1559, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13952","868.864000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1560, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13953","868.966400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=1561, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"13954","868.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13955","868.999549","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"13956","868.999559","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13957","869.000477","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"13958","869.009687","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13959","869.027385","192.168.239.4","192.168.239.1","UDP","2112","","49153  >  9 Len=2048","2112"
"13960","869.027699","","00:00:00_00:00:04 (00:00:00:00:00:04) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"13961","869.029477","192.168.239.1","192.168.239.4","UDP","2112","","9  >  49153 Len=2048","2112"
"13962","869.029735","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
