"No.","Time","Source","Destination","Protocol","Length","Data rate (Mb/s)","Info","Bandwidth"
"702","49.152000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=536, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"703","49.254400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=537, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"704","49.356800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=538, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"705","49.459200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=539, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"706","49.561600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=540, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"707","49.664000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=541, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"708","49.766400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=542, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"709","49.868800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=543, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"710","49.971200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=544, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"711","49.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"712","49.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"713","49.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"714","49.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"715","50.073600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=546, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"716","50.176000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=547, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"717","50.278400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=548, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"718","50.380800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=549, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"719","50.483200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=550, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"720","50.585600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=551, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"721","50.688000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=552, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"722","50.790400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=553, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"723","50.892800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=554, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"724","50.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"725","50.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"726","50.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"727","50.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"728","50.995200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=556, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"729","51.097600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=557, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"730","51.200000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=558, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"731","51.302400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=559, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"732","51.404800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=560, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"733","51.507200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=561, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"734","51.609600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=562, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"735","51.712000","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=563, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"736","51.814400","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=564, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"737","51.916800","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=565, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"738","51.981427","192.168.239.5","192.168.239.1","UDP","1088","","49153  >  9 Len=1024","1088"
"739","51.983460","","00:00:00_00:00:05 (00:00:00:00:00:05) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"740","51.984494","192.168.239.1","192.168.239.5","UDP","1088","","9  >  49153 Len=1024","1088"
"741","51.984504","","00:00:00_00:00:03 (00:00:00:00:00:03) (RA)","802.11","14","","Acknowledgement, Flags=........","14"
"742","52.019200","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=567, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
"743","52.121600","00:00:00_00:00:03","Broadcast","802.11","60","","Beacon frame, SN=568, FN=0, Flags=........, BI=100, SSID=""ns-3-WiFi""","60"
