No.,Time,Length,Device IP,Day
19515,0 days 00:07:04.047906514,2662,192.168.239.95,2
19516,0 days 00:07:04.047921496,86,192.168.239.95,2
19517,0 days 00:07:04.047963546,86,192.168.239.95,2
19518,0 days 00:07:04.048482875,2662,192.168.239.67,2
19519,0 days 00:07:04.048506903,86,192.168.239.95,2
19520,0 days 00:07:04.049977486,2662,192.168.239.67,2
19521,0 days 00:07:04.050016264,86,192.168.239.95,2
19522,0 days 00:07:04.052834493,2662,192.168.239.7,2
19523,0 days 00:07:04.052864095,2662,192.168.239.7,2
19524,0 days 00:07:04.053192121,86,192.168.239.95,2
19525,0 days 00:07:04.053508843,2662,192.168.239.67,2
19526,0 days 00:07:04.053556091,86,192.168.239.95,2
19527,0 days 00:07:04.054406337,1374,192.168.239.7,2
19528,0 days 00:07:04.055202349,1374,192.168.239.67,2
19529,0 days 00:07:04.055243119,86,192.168.239.95,2
19530,0 days 00:07:04.057505814,2662,192.168.239.7,2
19531,0 days 00:07:04.057551861,86,192.168.239.95,2
19532,0 days 00:07:04.057667063,2662,192.168.239.95,2
19533,0 days 00:07:04.057690291,86,192.168.239.95,2
19534,0 days 00:07:04.058422445,2662,192.168.239.7,2
19535,0 days 00:07:04.058470569,86,192.168.239.95,2
19536,0 days 00:07:04.059928832,2662,192.168.239.7,2
19537,0 days 00:07:04.059992058,86,192.168.239.95,2
19538,0 days 00:07:04.062585755,2662,192.168.239.7,2
19539,0 days 00:07:04.062713428,86,192.168.239.95,2
19540,0 days 00:07:04.062742352,2662,192.168.239.7,2
19541,0 days 00:07:04.062764375,86,192.168.239.95,2
19542,0 days 00:07:04.063655817,2662,192.168.239.67,2
19543,0 days 00:07:04.063777329,86,192.168.239.95,2
19544,0 days 00:07:04.064496768,2662,192.168.239.7,2
19545,0 days 00:07:04.064537111,86,192.168.239.95,2
19546,0 days 00:07:04.068000531,2662,192.168.239.67,2
19547,0 days 00:07:04.068123605,2662,192.168.239.7,2
19548,0 days 00:07:04.068134569,86,192.168.239.95,2
19549,0 days 00:07:04.068175937,86,192.168.239.95,2
19550,0 days 00:07:04.068708637,1374,192.168.239.67,2
19551,0 days 00:07:04.069352666,1374,192.168.239.7,2
19552,0 days 00:07:04.069398422,86,192.168.239.95,2
19553,0 days 00:07:04.069950299,2662,192.168.239.7,2
19554,0 days 00:07:04.069998315,86,192.168.239.95,2
19555,0 days 00:07:04.070608717,2662,192.168.239.67,2
19556,0 days 00:07:04.070696593,86,192.168.239.95,2
19557,0 days 00:07:04.072489709,1374,192.168.239.7,2
19558,0 days 00:07:04.072519371,1374,192.168.239.7,2
19559,0 days 00:07:04.072605179,86,192.168.239.95,2
19560,0 days 00:07:04.073257675,2662,192.168.239.7,2
19561,0 days 00:07:04.073297636,86,192.168.239.95,2
19562,0 days 00:07:04.073998849,2662,192.168.239.67,2
19563,0 days 00:07:04.074037232,86,192.168.239.95,2
19564,0 days 00:07:04.075902757,2662,192.168.239.7,2
19565,0 days 00:07:04.076083485,86,192.168.239.95,2
19566,0 days 00:07:04.077622558,2662,192.168.239.67,2
19567,0 days 00:07:04.077669678,86,192.168.239.95,2
19568,0 days 00:07:04.078175684,2662,192.168.239.7,2
19569,0 days 00:07:04.078205239,86,192.168.239.95,2
19570,0 days 00:07:04.079051403,1374,192.168.239.7,2
19571,0 days 00:07:04.079983484,1374,192.168.239.67,2
19572,0 days 00:07:04.080032106,86,192.168.239.95,2
19573,0 days 00:07:04.082956780,2662,192.168.239.67,2
19574,0 days 00:07:04.082993163,86,192.168.239.95,2
19575,0 days 00:07:04.083051020,1374,192.168.239.67,2
19576,0 days 00:07:04.083342713,1374,192.168.239.67,2
19577,0 days 00:07:04.083342804,1374,192.168.239.67,2
19578,0 days 00:07:04.083374279,86,192.168.239.95,2
19579,0 days 00:07:04.083478180,1374,192.168.239.67,2
19580,0 days 00:07:04.084018971,1374,192.168.239.67,2
19581,0 days 00:07:04.084072799,86,192.168.239.95,2
19582,0 days 00:07:04.084957644,1374,192.168.239.7,2
19583,0 days 00:07:04.084957746,1374,192.168.239.7,2
19584,0 days 00:07:04.084990230,86,192.168.239.95,2
19585,0 days 00:07:04.085076951,1374,192.168.239.67,2
19586,0 days 00:07:04.087457849,2662,192.168.239.95,2
19587,0 days 00:07:04.087486981,86,192.168.239.95,2
19588,0 days 00:07:04.088134176,1374,192.168.239.67,2
19589,0 days 00:07:04.088906177,1374,192.168.239.7,2
19590,0 days 00:07:04.088950223,86,192.168.239.95,2
19591,0 days 00:07:04.089705168,1374,192.168.239.7,2
19592,0 days 00:07:04.089827823,1374,192.168.239.67,2
19593,0 days 00:07:04.089832983,86,192.168.239.95,2
19594,0 days 00:07:04.091562696,2662,192.168.239.67,2
19595,0 days 00:07:04.091618255,86,192.168.239.95,2
19596,0 days 00:07:04.092819257,2662,192.168.239.67,2
19597,0 days 00:07:04.092819304,1374,192.168.239.67,2
19598,0 days 00:07:04.092871638,86,192.168.239.95,2
19599,0 days 00:07:04.093070107,1374,192.168.239.67,2
19600,0 days 00:07:04.093912575,2662,192.168.239.7,2
19601,0 days 00:07:04.093942646,86,192.168.239.95,2
19602,0 days 00:07:04.094872037,1374,192.168.239.67,2
19603,0 days 00:07:04.104239341,1374,192.168.239.67,2
19604,0 days 00:07:04.104239417,1374,192.168.239.7,2
19605,0 days 00:07:04.104343608,86,192.168.239.95,2
19606,0 days 00:07:04.104803497,1374,192.168.239.7,2
19607,0 days 00:07:04.104803544,2662,192.168.239.67,2
19608,0 days 00:07:04.104803559,2662,192.168.239.7,2
19609,0 days 00:07:04.104803575,2662,192.168.239.7,2
19610,0 days 00:07:04.104803590,2662,192.168.239.7,2
19611,0 days 00:07:04.104815148,2662,192.168.239.67,2
19612,0 days 00:07:04.104815219,1374,192.168.239.7,2
19613,0 days 00:07:04.104923290,86,192.168.239.95,2
19614,0 days 00:07:04.104984577,1374,192.168.239.7,2
19615,0 days 00:07:04.104984627,2662,192.168.239.7,2
19616,0 days 00:07:04.104995329,86,192.168.239.95,2
19617,0 days 00:07:04.107780803,2662,192.168.239.67,2
19618,0 days 00:07:04.107861495,1374,192.168.239.7,2
19619,0 days 00:07:04.107902920,86,192.168.239.95,2
19620,0 days 00:07:04.108541562,1374,192.168.239.67,2
