No.,Time,Length,Device IP,Day
97571,0 days 01:21:29.844990314,97,192.168.239.7,6
97572,0 days 01:21:29.845031441,66,192.168.239.95,6
97573,0 days 01:21:30.067920201,1104,192.168.239.7,6
97574,0 days 01:21:30.180367636,1104,192.168.239.67,6
97575,0 days 01:21:30.206173831,93,192.168.239.67,6
97576,0 days 01:21:30.212888845,95,192.168.239.67,6
97577,0 days 01:21:30.236509975,88,192.168.239.7,6
97578,0 days 01:21:30.243956669,135,192.168.239.67,6
97579,0 days 01:21:30.243956994,84,192.168.239.7,6
97580,0 days 01:21:30.244364262,101,192.168.239.7,6
97581,0 days 01:21:30.251717248,95,192.168.239.67,6
97582,0 days 01:21:30.303773109,87,192.168.239.7,6
97583,0 days 01:21:32.562494028,86,192.168.239.95,6
97584,0 days 01:21:32.562524003,86,192.168.239.95,6
97585,0 days 01:21:32.562544608,86,192.168.239.95,6
97586,0 days 01:21:32.639356507,86,192.168.239.95,6
97587,0 days 01:21:32.662208085,86,192.168.239.95,6
97588,0 days 01:21:33.031573547,1287,192.168.239.7,6
97589,0 days 01:21:33.031619517,1292,192.168.239.67,6
97590,0 days 01:21:33.031627627,764,192.168.239.7,6
97591,0 days 01:21:33.034248443,86,192.168.239.95,6
97592,0 days 01:21:33.034246979,86,192.168.239.67,6
97593,0 days 01:21:33.034273987,78,192.168.239.67,6
97594,0 days 01:21:33.088712523,93,192.168.239.67,6
97595,0 days 01:21:33.096405468,95,192.168.239.7,6
97596,0 days 01:21:33.113171373,87,192.168.239.7,6
97597,0 days 01:21:33.122976934,87,192.168.239.67,6
97598,0 days 01:21:33.325418096,136,192.168.239.7,6
97599,0 days 01:21:33.325557599,202,192.168.239.7,6
97600,0 days 01:21:33.325833782,101,192.168.239.67,6
97601,0 days 01:21:33.330409674,86,192.168.239.7,6
97602,0 days 01:21:33.333083893,95,192.168.239.67,6
97603,0 days 01:21:33.333977401,78,192.168.239.67,6
97604,0 days 01:21:33.394760469,87,192.168.239.7,6
97605,0 days 01:21:34.554473012,121,192.168.239.67,6
97606,0 days 01:21:34.554473370,97,192.168.239.7,6
97607,0 days 01:21:34.554473422,291,192.168.239.7,6
97608,0 days 01:21:34.561216645,332,192.168.239.67,6
97609,0 days 01:21:34.622501886,86,192.168.239.95,6
97610,0 days 01:21:34.634462080,121,192.168.239.67,6
97611,0 days 01:21:34.634752594,96,192.168.239.7,6
97612,0 days 01:21:34.643800081,91,192.168.239.7,6
97613,0 days 01:21:34.644143912,96,192.168.239.7,6
97614,0 days 01:21:34.704451129,86,192.168.239.95,6
97615,0 days 01:21:34.964047190,165,192.168.239.7,6
97616,0 days 01:21:34.964426829,101,192.168.239.67,6
97617,0 days 01:21:35.023502718,87,192.168.239.7,6
97618,0 days 01:21:35.987927634,42,192.168.239.7,6
97619,0 days 01:21:35.987942358,42,192.168.239.67,6
97620,0 days 01:21:36.640907705,335,192.168.239.7,6
97621,0 days 01:21:37.216538605,86,192.168.239.95,6
97622,0 days 01:21:37.216538978,355,192.168.239.67,6
97623,0 days 01:21:37.216589948,86,192.168.239.95,6
97624,0 days 01:21:37.523670736,355,192.168.239.95,6
97625,0 days 01:21:37.523701975,98,192.168.239.95,6
97626,0 days 01:21:41.721885149,111,192.168.239.7,6
97627,0 days 01:21:41.722799741,115,192.168.239.67,6
97628,0 days 01:21:41.926387893,86,192.168.239.95,6
97629,0 days 01:21:42.080715030,1287,192.168.239.7,6
97630,0 days 01:21:42.080751879,1045,192.168.239.67,6
97631,0 days 01:21:42.155159343,94,192.168.239.67,6
97632,0 days 01:21:42.162638951,95,192.168.239.7,6
97633,0 days 01:21:42.166428015,204,192.168.239.7,6
97634,0 days 01:21:42.176438864,95,192.168.239.67,6
97635,0 days 01:21:42.191332763,88,192.168.239.67,6
97636,0 days 01:21:42.438669815,134,192.168.239.67,6
97637,0 days 01:21:42.439020846,101,192.168.239.67,6
97638,0 days 01:21:42.445626398,1287,192.168.239.67,6
97639,0 days 01:21:42.445667705,1118,192.168.239.67,6
97640,0 days 01:21:42.458460827,134,192.168.239.7,6
97641,0 days 01:21:42.458681552,96,192.168.239.7,6
97642,0 days 01:21:42.497029143,88,192.168.239.67,6
97643,0 days 01:21:42.512156729,94,192.168.239.67,6
97644,0 days 01:21:42.512431372,96,192.168.239.7,6
97645,0 days 01:21:42.546807564,88,192.168.239.7,6
97646,0 days 01:21:42.745266938,105,192.168.239.67,6
97647,0 days 01:21:42.745588268,101,192.168.239.7,6
97648,0 days 01:21:42.792475402,88,192.168.239.7,6
97649,0 days 01:21:43.378869674,86,192.168.239.67,6
97650,0 days 01:21:46.057429425,285,192.168.239.7,6
97651,0 days 01:21:46.062591567,410,192.168.239.7,6
97652,0 days 01:21:46.064517224,353,192.168.239.67,6
97653,0 days 01:21:46.161789268,86,192.168.239.95,6
97654,0 days 01:21:46.221060256,86,192.168.239.95,6
97655,0 days 01:21:46.221060647,125,192.168.239.7,6
97656,0 days 01:21:46.262504081,86,192.168.239.95,6
97657,0 days 01:21:46.431061120,86,192.168.239.95,6
97658,0 days 01:21:46.478451833,986,192.168.239.67,6
97659,0 days 01:21:46.478452249,317,192.168.239.67,6
97660,0 days 01:21:46.478452303,117,192.168.239.67,6
97661,0 days 01:21:46.478498666,86,192.168.239.95,6
97662,0 days 01:21:46.478523207,86,192.168.239.95,6
97663,0 days 01:21:46.478528457,86,192.168.239.95,6
97664,0 days 01:21:46.478537470,125,192.168.239.67,6
97665,0 days 01:21:46.478540478,86,192.168.239.95,6
97666,0 days 01:21:46.480686832,121,192.168.239.67,6
97667,0 days 01:21:46.480724046,125,192.168.239.7,6
97668,0 days 01:21:46.537873843,86,192.168.239.95,6
97669,0 days 01:21:46.934497998,86,192.168.239.95,6
97670,0 days 01:21:47.045994255,86,192.168.239.95,6
97671,0 days 01:21:48.920572964,733,192.168.239.67,6
97672,0 days 01:21:49.093189560,94,192.168.239.67,6
97673,0 days 01:21:49.100832734,95,192.168.239.67,6
97674,0 days 01:21:49.146611019,1287,192.168.239.67,6
97675,0 days 01:21:49.146611335,1292,192.168.239.7,6
97676,0 days 01:21:49.146611388,1292,192.168.239.7,6
97677,0 days 01:21:49.146611437,622,192.168.239.7,6
97678,0 days 01:21:49.146837320,1292,192.168.239.67,6
97679,0 days 01:21:49.146837532,158,192.168.239.7,6
97680,0 days 01:21:49.147025776,101,192.168.239.67,6
97681,0 days 01:21:49.154108317,95,192.168.239.67,6
97682,0 days 01:21:49.187260990,88,192.168.239.67,6
97683,0 days 01:21:49.211464863,125,192.168.239.67,6
97684,0 days 01:21:49.221857014,1292,192.168.239.7,6
97685,0 days 01:21:49.221899818,1292,192.168.239.67,6
97686,0 days 01:21:49.221905293,1292,192.168.239.7,6
97687,0 days 01:21:49.221909623,1292,192.168.239.67,6
97688,0 days 01:21:49.221913953,1292,192.168.239.67,6
97689,0 days 01:21:49.221921476,236,192.168.239.67,6
97690,0 days 01:21:49.221944899,111,192.168.239.7,6
97691,0 days 01:21:49.223519529,144,192.168.239.67,6
97692,0 days 01:21:49.223578859,144,192.168.239.7,6
97693,0 days 01:21:49.248738904,92,192.168.239.7,6
97694,0 days 01:21:49.255229291,95,192.168.239.67,6
97695,0 days 01:21:49.310922434,88,192.168.239.67,6
97696,0 days 01:21:49.311650078,238,192.168.239.67,6
97697,0 days 01:21:49.311971789,100,192.168.239.7,6
97698,0 days 01:21:49.313087995,142,192.168.239.7,6
97699,0 days 01:21:49.320585456,95,192.168.239.7,6
97700,0 days 01:21:49.331426820,88,192.168.239.7,6
97701,0 days 01:21:49.356284702,88,192.168.239.7,6
97702,0 days 01:21:49.375301550,87,192.168.239.67,6
97703,0 days 01:21:49.386958413,88,192.168.239.67,6
97704,0 days 01:21:49.392715535,87,192.168.239.7,6
