No.,Time,Length,Device IP,Day
58543,0 days 00:34:11.053987632,85,192.168.239.7,4
58544,0 days 00:34:11.054674278,86,192.168.239.95,4
58545,0 days 00:34:11.054934613,160,192.168.239.7,4
58546,0 days 00:34:11.056182386,1294,192.168.239.7,4
58547,0 days 00:34:11.056207390,86,192.168.239.95,4
58548,0 days 00:34:11.056822833,1294,192.168.239.95,4
58549,0 days 00:34:11.056837272,86,192.168.239.95,4
58550,0 days 00:34:11.057435192,1081,192.168.239.67,4
58551,0 days 00:34:11.057448801,86,192.168.239.95,4
58552,0 days 00:34:11.057717031,150,192.168.239.67,4
58553,0 days 00:34:11.057943134,184,192.168.239.67,4
58554,0 days 00:34:11.058196338,1402,192.168.239.7,4
58555,0 days 00:34:11.071337508,94,192.168.239.95,4
58556,0 days 00:34:11.071388839,86,192.168.239.95,4
58557,0 days 00:34:11.071927011,737,192.168.239.67,4
58558,0 days 00:34:11.077119380,85,192.168.239.67,4
58559,0 days 00:34:11.107246675,86,192.168.239.67,4
58560,0 days 00:34:11.121250097,183,192.168.239.67,4
58561,0 days 00:34:11.121571211,96,192.168.239.67,4
58562,0 days 00:34:11.314486178,737,192.168.239.95,4
58563,0 days 00:34:11.323746232,86,192.168.239.95,4
58564,0 days 00:34:11.326326799,1354,192.168.239.67,4
58565,0 days 00:34:11.326383805,86,192.168.239.95,4
58566,0 days 00:34:11.326960137,1354,192.168.239.95,4
58567,0 days 00:34:11.326960303,1354,192.168.239.67,4
58568,0 days 00:34:11.326977419,86,192.168.239.95,4
58569,0 days 00:34:11.326999953,86,192.168.239.95,4
58570,0 days 00:34:11.327008794,192,192.168.239.7,4
58571,0 days 00:34:11.327012767,86,192.168.239.95,4
58572,0 days 00:34:11.327984319,212,192.168.239.67,4
58573,0 days 00:34:11.328260505,789,192.168.239.67,4
58574,0 days 00:34:11.340136512,702,192.168.239.67,4
58575,0 days 00:34:11.367773170,1288,192.168.239.7,4
58576,0 days 00:34:11.367832535,954,192.168.239.67,4
58577,0 days 00:34:11.411123736,121,192.168.239.7,4
58578,0 days 00:34:11.411124073,98,192.168.239.67,4
58579,0 days 00:34:11.412477955,194,192.168.239.67,4
58580,0 days 00:34:11.412589445,91,192.168.239.7,4
58581,0 days 00:34:11.412939450,95,192.168.239.67,4
58582,0 days 00:34:11.418672981,95,192.168.239.67,4
58583,0 days 00:34:11.418884448,339,192.168.239.67,4
58584,0 days 00:34:11.432329222,89,192.168.239.67,4
58585,0 days 00:34:11.442608803,89,192.168.239.7,4
58586,0 days 00:34:11.442609190,89,192.168.239.67,4
58587,0 days 00:34:11.442915094,97,192.168.239.67,4
58588,0 days 00:34:11.448220158,557,192.168.239.7,4
58589,0 days 00:34:11.448674813,99,192.168.239.67,4
58590,0 days 00:34:11.452609583,84,192.168.239.67,4
58591,0 days 00:34:11.468359851,98,192.168.239.67,4
58592,0 days 00:34:11.478662984,96,192.168.239.7,4
58593,0 days 00:34:11.522499552,130,192.168.239.67,4
58594,0 days 00:34:11.522499874,169,192.168.239.67,4
58595,0 days 00:34:11.522866226,101,192.168.239.7,4
58596,0 days 00:34:11.528108902,102,192.168.239.7,4
58597,0 days 00:34:11.528187999,97,192.168.239.7,4
58598,0 days 00:34:11.530990383,106,192.168.239.67,4
58599,0 days 00:34:11.530990678,333,192.168.239.7,4
58600,0 days 00:34:11.531337799,101,192.168.239.67,4
58601,0 days 00:34:11.534510543,196,192.168.239.7,4
58602,0 days 00:34:11.534688085,125,192.168.239.7,4
58603,0 days 00:34:11.538083213,98,192.168.239.95,4
58604,0 days 00:34:11.546093430,352,192.168.239.7,4
58605,0 days 00:34:11.546192583,106,192.168.239.67,4
58606,0 days 00:34:11.546415875,99,192.168.239.7,4
58607,0 days 00:34:11.546502407,97,192.168.239.67,4
58608,0 days 00:34:11.562401086,737,192.168.239.95,4
58609,0 days 00:34:11.568614116,98,192.168.239.95,4
58610,0 days 00:34:11.632359753,89,192.168.239.7,4
58611,0 days 00:34:11.634497549,248,192.168.239.95,4
58612,0 days 00:34:11.642469793,160,192.168.239.95,4
58613,0 days 00:34:11.644333218,86,192.168.239.95,4
58614,0 days 00:34:11.644333486,1062,192.168.239.7,4
58615,0 days 00:34:11.651259590,86,192.168.239.95,4
58616,0 days 00:34:11.651879479,672,192.168.239.67,4
58617,0 days 00:34:11.651898753,87,192.168.239.7,4
58618,0 days 00:34:11.652357010,117,192.168.239.67,4
58619,0 days 00:34:11.656531301,117,192.168.239.7,4
58620,0 days 00:34:11.690509770,86,192.168.239.95,4
58621,0 days 00:34:11.698509180,86,192.168.239.95,4
58622,0 days 00:34:11.728050383,86,192.168.239.95,4
58623,0 days 00:34:11.733075307,86,192.168.239.95,4
58624,0 days 00:34:11.746264243,121,192.168.239.67,4
58625,0 days 00:34:11.746573178,96,192.168.239.7,4
58626,0 days 00:34:11.762687994,117,192.168.239.95,4
58627,0 days 00:34:11.762722505,98,192.168.239.95,4
58628,0 days 00:34:11.766388415,86,192.168.239.95,4
58629,0 days 00:34:11.766388828,356,192.168.239.7,4
58630,0 days 00:34:11.766443467,86,192.168.239.95,4
58631,0 days 00:34:11.766974034,166,192.168.239.67,4
58632,0 days 00:34:11.767206397,578,192.168.239.7,4
58633,0 days 00:34:11.818123363,467,192.168.239.67,4
