No.,Time,Length,Device IP,Day
78057,0 days 01:01:01.157342134,86,192.168.239.95,5
78058,0 days 01:01:01.157750624,1354,192.168.239.95,5
78059,0 days 01:01:01.157762202,86,192.168.239.95,5
78060,0 days 01:01:01.158578182,1354,192.168.239.95,5
78061,0 days 01:01:01.158770803,1354,192.168.239.95,5
78062,0 days 01:01:01.158782431,86,192.168.239.95,5
78063,0 days 01:01:01.161250958,1354,192.168.239.95,5
78064,0 days 01:01:01.161381063,1354,192.168.239.95,5
78065,0 days 01:01:01.161391476,86,192.168.239.95,5
78066,0 days 01:01:01.162026226,1354,192.168.239.95,5
78067,0 days 01:01:01.162055729,1354,192.168.239.95,5
78068,0 days 01:01:01.162061945,86,192.168.239.95,5
78069,0 days 01:01:01.163075190,1354,192.168.239.95,5
78070,0 days 01:01:01.163205206,1354,192.168.239.95,5
78071,0 days 01:01:01.163205325,1354,192.168.239.95,5
78072,0 days 01:01:01.163222228,86,192.168.239.95,5
78073,0 days 01:01:01.163693674,1354,192.168.239.95,5
78074,0 days 01:01:01.163697620,86,192.168.239.95,5
78075,0 days 01:01:01.166590758,1354,192.168.239.95,5
78076,0 days 01:01:01.166781503,2622,192.168.239.67,5
78077,0 days 01:01:01.166784208,86,192.168.239.95,5
78078,0 days 01:01:01.173434363,1354,192.168.239.95,5
78079,0 days 01:01:01.173619191,2622,192.168.239.95,5
78080,0 days 01:01:01.173619314,2622,192.168.239.95,5
78081,0 days 01:01:01.173619351,1354,192.168.239.95,5
78082,0 days 01:01:01.173636353,86,192.168.239.95,5
78083,0 days 01:01:01.173655519,86,192.168.239.95,5
78084,0 days 01:01:01.179241002,1354,192.168.239.95,5
78085,0 days 01:01:01.179265911,86,192.168.239.95,5
78086,0 days 01:01:01.180073192,2622,192.168.239.95,5
78087,0 days 01:01:01.180084681,86,192.168.239.95,5
78088,0 days 01:01:01.188204575,1354,192.168.239.95,5
78089,0 days 01:01:01.188236151,1354,192.168.239.95,5
78090,0 days 01:01:01.188236363,1354,192.168.239.67,5
78091,0 days 01:01:01.188249220,86,192.168.239.95,5
78092,0 days 01:01:01.189007584,1354,192.168.239.95,5
78093,0 days 01:01:01.189007851,2622,192.168.239.95,5
78094,0 days 01:01:01.189007894,5158,192.168.239.95,5
78095,0 days 01:01:01.189007932,2622,192.168.239.95,5
78096,0 days 01:01:01.189036807,86,192.168.239.95,5
78097,0 days 01:01:01.189059370,86,192.168.239.95,5
78098,0 days 01:01:01.189063988,86,192.168.239.95,5
78099,0 days 01:01:01.189069783,86,192.168.239.95,5
78100,0 days 01:01:01.189087058,2622,192.168.239.95,5
78101,0 days 01:01:01.189089819,86,192.168.239.95,5
78102,0 days 01:01:01.194163407,1354,192.168.239.95,5
78103,0 days 01:01:01.196415991,1354,192.168.239.67,5
78104,0 days 01:01:01.196416225,2622,192.168.239.95,5
78105,0 days 01:01:01.196416270,2622,192.168.239.95,5
78106,0 days 01:01:01.196416313,2622,192.168.239.95,5
78107,0 days 01:01:01.196416355,5158,192.168.239.95,5
78108,0 days 01:01:01.196447413,86,192.168.239.95,5
78109,0 days 01:01:01.196470964,86,192.168.239.95,5
78110,0 days 01:01:01.196476074,86,192.168.239.95,5
78111,0 days 01:01:01.196480686,86,192.168.239.95,5
78112,0 days 01:01:01.196485636,86,192.168.239.95,5
78113,0 days 01:01:01.196503932,2622,192.168.239.67,5
78114,0 days 01:01:01.196504002,2622,192.168.239.95,5
